x_position_of_agent,y_position_of_agent,action
20.0,16,1
20.0,32,1
20.0,33,1
20.0,34,1
20.0,35,1
20.0,36,1
20.0,37,1
20.0,38,1
20.0,39,1
20.0,40,1
20.0,41,1
20.0,42,1
20.0,43,1
20.0,44,1
20.0,45,1
20.0,46,1
20.0,47,1
20.0,48,1
20.0,49,1
20.0,50,1
20.0,51,1
20.0,52,1
20.0,53,1
20.0,54,1
20.0,55,1
20.0,56,1
20.0,57,1
20.0,58,1
20.0,59,1
20.0,60,1
20.0,61,1
20.0,62,1
20.0,63,1
20.0,64,1
20.0,65,1
20.0,66,1
20.0,67,1
20.0,68,1
20.0,69,1
20.0,70,1
20.0,71,1
20.0,72,1
20.0,73,1
20.0,74,1
20.0,75,1
20.0,76,1
20.0,77,1
20.0,78,1
20.0,79,1
20.0,80,1
20.0,81,1
20.0,82,1
20.0,83,1
20.0,84,1
20.0,85,1
20.0,86,1
20.0,87,1
20.0,88,1
20.0,89,1
20.0,90,1
20.0,91,1
20.0,92,1
20.0,93,1
20.0,94,1
20.0,95,1
20.0,96,1
20.0,97,1
20.0,98,1
20.0,99,1
20.0,100,1
20.0,101,1
20.0,102,1
20.0,103,1
20.0,104,1
20.0,105,1
20.0,106,1
20.0,107,1
20.0,108,1
20.0,109,1
20.0,110,1
20.0,111,1
20.0,112,1
20.0,113,1
20.0,114,1
20.0,115,1
20.0,116,1
20.0,117,1
20.0,118,1
20.0,119,1
20.0,120,1
20.0,121,1
20.0,122,1
20.0,123,1
20.0,124,1
20.0,125,1
20.0,126,1
20.0,127,1
20.0,128,1
20.0,129,1
20.0,130,1
20.0,131,1
20.0,132,1
20.0,133,1
20.0,134,1
20.0,135,1
20.0,136,1
20.0,137,1
20.0,138,1
20.0,139,1
20.0,140,1
20.0,141,1
20.0,142,1
20.0,143,1
20.0,144,1
20.0,145,1
20.0,146,1
20.0,147,1
20.0,148,1
20.0,149,1
20.0,150,1
20.0,151,1
20.0,152,1
20.0,153,1
20.0,154,1
20.0,155,1
20.0,156,1
20.0,157,1
20.0,158,1
20.0,159,1
20.0,160,1
20.0,161,1
20.0,162,1
20.0,163,1
20.0,164,1
20.0,165,1
20.0,166,1
20.0,167,1
20.0,168,1
20.0,169,1
20.0,170,1
20.0,171,1
20.0,172,1
20.0,173,1
20.0,174,1
20.0,175,1
20.0,176,1
20.0,177,1
20.0,178,1
20.0,179,1
20.0,180,1
20.0,181,1
20.0,182,1
20.0,183,1
20.0,184,1
20.0,185,1
20.0,186,1
20.0,187,1
20.0,188,1
20.0,189,1
20.0,190,1
20.0,191,1
20.0,192,1
20.0,193,1
20.0,194,1
20.0,195,1
20.0,196,1
20.0,197,1
20.0,198,1
20.0,199,1
20.0,200,1
20.0,201,1
20.0,202,1
20.0,203,1
20.0,204,1
20.0,205,1
20.0,206,1
20.0,207,1
20.0,208,1
20.0,209,1
20.0,210,1
20.0,211,1
20.0,212,1
20.0,213,1
20.0,214,1
20.0,215,1
20.0,216,1
20.0,217,1
20.0,218,1
20.0,219,1
20.0,220,1
20.0,221,1
20.0,222,1
20.0,223,1
20.0,224,1
20.0,225,1
20.0,226,1
20.0,227,1
20.0,228,1
20.0,229,1
20.0,230,1
20.0,231,1
20.0,232,1
20.0,233,1
20.0,234,1
20.0,235,1
20.0,236,1
20.0,237,1
20.0,238,1
20.0,239,1
20.0,240,1
20.0,241,1
20.0,242,1
20.0,243,1
20.0,244,1
20.0,245,1
20.0,246,1
20.0,247,1
20.0,248,1
20.0,249,1
20.0,250,1
20.0,251,1
20.0,252,1
20.0,253,1
20.0,254,1
20.0,255,1
20.0,256,1
20.0,257,1
20.0,258,1
20.0,259,1
20.0,260,1
20.0,261,1
20.0,262,1
20.0,263,1
20.0,264,1
20.0,265,1
20.0,266,1
20.0,267,1
20.0,268,1
20.0,269,1
20.0,270,1
20.0,271,1
20.0,272,1
20.0,273,1
20.0,274,1
20.0,275,1
20.0,276,1
20.0,277,1
20.0,278,1
20.0,279,1
20.0,280,1
20.0,281,1
20.0,282,1
20.0,283,1
20.0,284,1
20.0,285,1
20.0,286,1
20.0,287,1
20.0,288,1
20.0,289,1
20.0,290,1
20.0,291,1
20.0,292,1
20.0,293,1
20.0,294,1
20.0,295,1
20.0,296,1
20.0,297,1
20.0,298,1
20.0,299,1
20.0,300,1
20.0,301,1
20.0,302,1
20.0,303,1
20.0,304,1
20.0,305,1
20.0,306,1
20.0,307,1
20.0,308,1
20.0,309,1
20.0,310,1
20.0,311,1
20.0,312,1
20.0,313,1
20.0,314,1
20.0,315,1
20.0,316,1
20.0,317,1
20.0,318,1
20.0,319,1
20.0,320,1
20.0,321,1
20.0,322,1
20.0,323,1
20.0,324,1
20.0,325,1
20.0,326,1
20.0,327,1
20.0,328,1
20.0,329,1
20.0,330,1
20.0,331,1
20.0,332,1
20.0,333,1
20.0,334,1
20.0,335,1
20.0,336,1
20.0,337,1
20.0,338,1
20.0,339,1
20.0,340,1
